Crop,Soil_Type,Temperature,Humidity,Soil_Moisture,Rainfall,Growth_Stage,Irrigation_Need
Potato,Sandy,35.30460130890141,92.9385861619807,10.024778553200475,19.343966710225914,Seedling,High
Potato,Sandy,24.047606096206547,22.816705230514216,80.58248760363065,148.75253485057806,Fruiting,Medium
Maize,Loamy,20.649075747513194,41.384988138553155,11.577578576345005,21.8707866709946,Vegetative,High
Cotton,Sandy,24.11205138675298,34.656693997876175,70.62496255136928,80.98354267376114,Flowering,Medium
Potato,Sandy,17.79052227788025,20.836594048387287,38.93526490402024,160.9244883080809,Seedling,Medium
Cotton,Loamy,19.316038990299894,38.174429768474106,69.05734401090558,93.51407232265939,Flowering,Medium
Wheat,Loamy,18.139813210394436,70.90819876403216,42.13961643399828,168.40310394370158,Fruiting,Medium
Maize,Silty,27.68830631224673,37.331669160092645,15.672633786547339,68.37626441122299,Vegetative,High
Cotton,Sandy,38.867351287727594,58.17525841119637,71.40053563162913,191.52725879968708,Maturity,Low
Rice,Sandy,19.241506626490207,86.5863586223749,15.700214825709198,41.89368636104711,Vegetative,Medium
Rice,Sandy,18.909612995170075,72.03184402618064,83.76963487689744,7.6528289978602615,Fruiting,Medium
Tomato,Silty,34.30286848551992,49.5971802429524,14.07792286333291,174.48530859808372,Vegetative,High
Maize,Sandy,20.91548945904199,47.93517041840812,48.346022221721235,150.44054319008166,Maturity,Low
Maize,Silty,17.92830114326975,54.18018605063636,67.84275446806365,46.396767413474564,Seedling,Low
Tomato,Clay,20.00545734616733,33.27810807949298,41.45971718336302,196.94832142733478,Vegetative,Medium
Cotton,Silty,42.711941876303285,67.5500575561991,27.378677967394776,100.45602585370557,Fruiting,High
Maize,Clay,39.644137583285726,47.31146143284541,70.72727691168217,190.2130880288327,Vegetative,Medium
Rice,Sandy,25.621936870652824,83.92740119465327,72.74357638309812,101.00575427739986,Maturity,Low
Rice,Clay,34.67462301982178,76.74144950433623,83.81559871634937,94.3749173542582,Fruiting,Low
Potato,Silty,31.118270210041143,65.788487306912,40.09320883448622,89.827707428893,Vegetative,Medium
Wheat,Loamy,35.31372790447692,47.31516669871371,50.50013875978615,66.97505522659004,Fruiting,Medium
Maize,Clay,35.48013457388278,35.744887375511325,39.05027542768576,106.74029943531033,Maturity,High
Cotton,Clay,33.862020451799786,78.2113898079217,30.566545748109455,90.51093238971357,Seedling,Medium
Tomato,Sandy,22.98304105611926,56.48068242433149,70.08263692300869,7.349375324710827,Maturity,Low
Tomato,Silty,16.170192622884542,36.85625286330181,37.172147601356436,52.087046684700496,Seedling,Medium
Cotton,Clay,28.667003459703263,34.63809612800047,44.25195535938816,42.62456002111168,Flowering,High
Sugarcane,Clay,41.72921654072111,32.405067837601926,42.293892609922224,173.48712046421332,Maturity,High
Groundnut,Clay,32.08491775555728,78.28708971541963,67.01289805173967,119.77399544536829,Seedling,Low
Wheat,Clay,39.971731251057236,37.174038897523374,83.42365008885439,152.7366200899455,Flowering,High
Tomato,Loamy,44.748730288836846,59.498169764389814,63.340484904590184,191.3652075498561,Flowering,Medium
Maize,Silty,19.90848612414829,53.865977072979234,47.7266076875386,128.807854505282,Flowering,Low
Wheat,Sandy,35.75332917425947,63.470817442121295,72.33640917911067,196.52199828094888,Fruiting,Medium
Maize,Sandy,35.22880721100074,85.78661752783957,61.277705929771,62.352810330425925,Maturity,Low
Sugarcane,Loamy,44.39866342074835,85.0810542561298,14.848828569425079,37.25343646257877,Maturity,High
Rice,Silty,44.56802201858401,53.83070538686447,17.65308691350733,80.6619775985823,Maturity,High
Wheat,Clay,35.600358351723884,21.15246880510425,13.033355525890666,94.15988298716161,Maturity,High
Potato,Loamy,22.308443759465828,51.98328542857274,46.545306096505584,179.072308570517,Fruiting,Low
Tomato,Silty,38.95667514391797,65.46451530681054,76.06827474711719,111.98808780733526,Maturity,Low
Wheat,Clay,18.210874026331144,61.832356932354635,35.04665354810817,58.4361998836034,Seedling,Low
Wheat,Loamy,38.42097912514886,68.85020793501542,40.732814647398534,148.52685657350418,Flowering,High
Wheat,Silty,42.30588372434089,31.555679935481262,82.75816866943126,101.16638742781419,Fruiting,High
Groundnut,Sandy,26.485001843053055,68.49013240855494,76.95227562533239,32.426389055034036,Fruiting,Low
Wheat,Sandy,33.919058849492416,33.69887140578292,63.2038489906048,115.36395751825043,Maturity,Medium
Maize,Silty,27.90428196290479,76.28929855225617,31.344302567380105,182.2789073614568,Flowering,Medium
Rice,Sandy,28.132951649643854,45.431570994701005,19.363318615075478,168.52452349516403,Seedling,Medium
Sugarcane,Silty,24.3111266732436,73.24215750360901,11.284705814409097,117.36199452706622,Flowering,Medium
Cotton,Clay,37.863888613509744,23.58991991795803,18.56085380835367,75.41663477699763,Vegetative,High
Wheat,Silty,43.085296924995156,50.58950191931851,33.40771548991542,17.39575021284223,Flowering,High
Tomato,Clay,43.22252577703384,72.87758916974995,54.14320508635966,93.92978466632475,Seedling,Low
Wheat,Loamy,20.243438546248015,37.01528872486206,15.120006620190951,150.41588750591583,Seedling,High
Tomato,Silty,41.24230948969698,79.64652835979169,20.898222265475923,72.05474394660212,Seedling,High
Maize,Loamy,37.12294324281366,67.3084799828699,24.486456184635284,47.08936511033288,Fruiting,High
Tomato,Sandy,22.585122020708678,64.06713291123486,60.5585674386645,186.27594385419067,Fruiting,Low
Potato,Clay,17.018538387645435,46.516164065325285,59.26318391840995,164.31114009159847,Vegetative,Low
Cotton,Silty,23.039918006531337,56.183860278583815,54.06125810977223,127.65512388402894,Flowering,Low
Rice,Loamy,42.36624710344577,64.80119757333898,30.04011397567517,27.356668784103878,Maturity,High
Tomato,Clay,33.99536024687317,55.434658543616784,39.689575297498564,28.981768081234605,Vegetative,Medium
Tomato,Clay,36.63163982693615,72.37349929554202,17.73517730701944,20.643918291155792,Maturity,High
Rice,Sandy,22.714570533272877,52.52726998302197,28.116848300644392,123.25933337854865,Maturity,Medium
Cotton,Sandy,36.5816446672446,35.17048863065227,81.81641811780644,23.1125592946672,Vegetative,High
Wheat,Clay,15.843645188337712,36.04503371007854,88.37533971486627,168.5254397725266,Flowering,Medium
Tomato,Clay,26.259640373190415,20.435282663220583,61.81276685122357,198.59300036386443,Maturity,Low
Rice,Silty,33.802600456269936,42.57182866690043,83.34586336187361,73.26963694173305,Fruiting,Medium
Potato,Clay,19.382896966239606,76.16882303588898,61.419352032114006,90.73396939341949,Fruiting,Low
Potato,Silty,39.69010723340804,79.56220316282071,12.65571888843759,142.33343539713573,Vegetative,High
Maize,Clay,22.05093896435756,35.185065657181255,89.74100679891272,187.43060126515317,Maturity,Low
Rice,Sandy,34.56843338455339,91.92829976535558,17.916184134922794,178.81875471127702,Vegetative,Medium
Maize,Silty,27.15591427725989,57.68020951100951,64.61134411560485,11.518365749969718,Fruiting,Medium
Potato,Loamy,32.881307864329415,88.7734061763877,30.226896245983205,33.814360511353,Vegetative,Medium
Cotton,Sandy,18.223516578867244,73.00739613962233,41.35848903255681,150.91943971155845,Maturity,Low
Wheat,Silty,15.507383997648219,74.18250672668098,61.674734784075056,137.77862160648945,Maturity,Low
Rice,Silty,42.28693282140904,26.378271597955333,44.91898794461656,26.64371880802465,Fruiting,High
Sugarcane,Loamy,23.088900263015482,36.4993345172698,30.04368471449026,100.41291640031353,Seedling,Medium
Potato,Silty,39.59031008341377,20.661112497085448,36.755694950265976,156.16292621705912,Seedling,High
Potato,Clay,44.980509014166,73.70957303575531,37.32384935385411,43.756136452538726,Flowering,High
Sugarcane,Loamy,21.342937739967333,45.83287163213825,86.7459123606571,174.25752714693326,Fruiting,Low
Groundnut,Sandy,22.955122235500667,78.998938705726,73.88904127387607,10.594354964073593,Flowering,Medium
Potato,Sandy,34.885793629039966,45.420216495276975,46.683901718352004,156.43901701361477,Fruiting,Medium
Tomato,Clay,43.96345903801864,81.45003142241458,25.98567362730913,123.16377995797406,Maturity,High
Cotton,Sandy,42.47443044572232,29.802369031123476,74.88128882101248,63.03986933086983,Fruiting,High
Rice,Silty,30.086265601967547,33.002986756813115,22.57459772866988,144.18650966838226,Vegetative,High
Sugarcane,Silty,38.85330847580174,45.56574046879524,26.836977371360273,156.47315903023193,Flowering,High
Tomato,Clay,19.072375592997034,50.6365541661705,39.28107134721209,186.77979426079386,Fruiting,Medium
Sugarcane,Sandy,44.32314552612037,46.15271081322338,80.42785566815921,73.55493443085273,Flowering,Medium
Rice,Sandy,43.93059702107959,77.27352743924149,20.54293349072882,137.203347195991,Fruiting,High
Maize,Clay,19.91186873637513,27.271354447003603,19.778735428362086,120.52325538693817,Seedling,High
Rice,Loamy,23.982693744093197,46.341276472886605,49.517999064421275,105.0412138914177,Flowering,Low
Groundnut,Sandy,18.004649925203008,82.79299996365945,32.11284328749397,178.08329483100758,Maturity,Low
Rice,Loamy,23.15152796694539,25.0097807946629,55.49823533185279,0.6334628276800647,Maturity,Medium
Rice,Sandy,39.478673682456204,90.67576307535181,46.13093477465788,56.42232122071953,Fruiting,Medium
Groundnut,Sandy,26.349468214957785,93.97376317040097,44.796728508097345,107.65544790896601,Maturity,Low
Cotton,Sandy,17.65190901440275,26.642613036881006,18.95783763895946,35.65865232731047,Maturity,High
Potato,Sandy,25.266765743367138,41.845439169180274,21.283975219987212,181.57330674655165,Flowering,High
Rice,Silty,44.441500027238405,47.930049952651714,75.68628619574801,129.51902352260308,Fruiting,Medium
Groundnut,Loamy,33.890507857776086,78.22935264895446,80.87061900573956,95.57659892639798,Flowering,Low
Tomato,Loamy,27.48482839218473,64.69451090875503,28.774682630820017,162.94035181333092,Fruiting,Medium
Maize,Sandy,19.9961554049181,68.32742753694255,19.076840121981526,90.17723829302075,Maturity,Medium
Maize,Sandy,44.585303918510846,76.81323671138796,14.273333754760849,111.73060238600189,Fruiting,High
Rice,Loamy,39.62547027789387,28.848424957776928,58.663809099351745,0.5501991107841997,Fruiting,High
Cotton,Silty,23.44431907352758,82.49070926826968,67.22825700001644,73.14010603901471,Vegetative,Low
Cotton,Clay,17.102060871635683,72.9214853135108,39.824799136256445,27.75809447019395,Fruiting,Medium
Tomato,Clay,16.69876672132674,63.300629389727774,64.37406939925117,137.9377361324582,Vegetative,Low
Rice,Loamy,18.611344485166015,86.73015010872925,67.03670524476209,95.80539179514676,Flowering,Low
Maize,Sandy,32.42305750843265,72.52297654128554,84.82738251175243,60.35151145004616,Vegetative,Low
Cotton,Sandy,42.862902636164776,35.1274971973269,15.18989102680858,93.56646787434848,Flowering,High
Rice,Silty,29.902302840179534,52.230903580675005,25.383337858486385,41.925977590269234,Fruiting,High
Sugarcane,Clay,40.28836447368592,57.05321502018,15.48207900775905,185.0173264972281,Flowering,High
Cotton,Silty,28.376598595794235,24.141322006280426,79.43951466688884,10.7945265101826,Maturity,Medium
Groundnut,Clay,36.25750637303476,91.59781350200419,73.40697280268549,173.08340705922407,Fruiting,Medium
Sugarcane,Loamy,36.956182118595024,29.643294559765884,55.97136564974712,102.27175774667019,Vegetative,Medium
Potato,Clay,20.21891117710016,72.30959504200452,16.693072804094655,123.78929922776345,Seedling,Medium
Cotton,Silty,25.836481769274354,57.967327706816015,31.86498869229757,60.52112418174076,Fruiting,Medium
Maize,Silty,34.11906469614072,21.922418741331693,33.817587844681356,193.33952335886426,Maturity,High
Wheat,Silty,17.120898245530984,89.35606068982713,54.85945568123337,56.370191703897966,Flowering,Low
Sugarcane,Loamy,25.846205632888697,83.88776066141999,30.64351152293724,117.77559942806086,Vegetative,Low
Potato,Clay,31.043983988435773,59.319344592787665,15.836789113036387,198.68334102142578,Vegetative,Medium
Tomato,Clay,44.88673479133916,37.1706752104584,68.46098414826395,176.21887927668917,Maturity,Medium
Tomato,Silty,29.236006878673223,29.121716801007068,33.92641693243291,107.26596505722121,Maturity,Medium
Maize,Clay,39.48170271342971,47.2544359574095,46.18993416186405,198.07490459344243,Fruiting,Medium
Cotton,Sandy,27.962018551998533,39.15712107845678,20.21333079858443,140.27397234652292,Seedling,High
Rice,Sandy,38.89172167859127,58.0018400754724,74.20386427156637,41.74008322836187,Seedling,Medium
Cotton,Sandy,32.86244404860325,92.48069720925717,55.24255015392461,81.11924208716128,Flowering,Low
Maize,Clay,41.59786324507195,63.121511992223105,82.12685009678903,66.8986668023102,Vegetative,Low
Tomato,Loamy,27.3282765705033,86.74482919175735,49.63772504522667,68.80274165423783,Fruiting,Low
Cotton,Loamy,33.12913259464437,68.81591281218329,85.31405374543039,152.09128787197326,Vegetative,Low
Tomato,Loamy,33.90056041856482,55.64348949404003,81.34945635050607,116.85258545455872,Fruiting,Low
Sugarcane,Loamy,27.5214882540142,84.09556720500284,56.116788516738715,7.618542317905708,Maturity,Low
Potato,Sandy,19.329361310624446,55.35260826297481,84.71147505198907,175.48969673019522,Flowering,Low
Rice,Sandy,17.806782207370066,85.14711278827707,35.84709978356418,59.359228096032915,Maturity,Low
Sugarcane,Silty,15.500146517988993,41.86825771818239,39.251373016336906,199.41497538262874,Vegetative,Medium
Tomato,Clay,41.20602792735644,29.66098053222411,13.638236104482955,190.83814606695714,Flowering,High
Tomato,Clay,22.094247367160836,84.14858482722038,57.13607254110825,188.10614333639305,Fruiting,Low
Wheat,Loamy,21.34520247845304,64.05613728445002,67.75391759431467,162.22552081279474,Fruiting,Low
Wheat,Sandy,37.08106201278197,86.68192986867201,71.88153521936826,44.12266633670852,Flowering,Medium
Sugarcane,Loamy,24.600483392621754,90.33704052442874,21.985302883688263,106.5265488057564,Maturity,Medium
Groundnut,Silty,30.1813407723551,24.02212927785869,45.532725785000025,44.86052536499492,Flowering,High
Sugarcane,Clay,19.875331958923688,57.572697639415125,24.149056967513253,51.935091117789845,Maturity,Medium
Wheat,Clay,43.79237164385908,48.12234118058969,62.97018790833991,122.19035388725547,Flowering,Medium
Tomato,Loamy,40.54744200051712,66.93937978025878,22.635709793741448,8.166709070612676,Maturity,High
Maize,Silty,40.9136886889501,79.51933979017426,82.33309471648599,193.89171336414154,Seedling,Low
Sugarcane,Clay,27.203212457160156,41.04426619807767,28.45077165291307,183.7346345155929,Flowering,High
Tomato,Silty,37.87083641121518,61.759878827987876,33.31218130305959,76.15351443154397,Maturity,Medium
Maize,Silty,19.316284661693405,73.15464349286746,78.07250577207998,103.08448960138261,Vegetative,Low
Maize,Loamy,15.258570077753408,30.082331212680053,46.677408811657905,93.2238838535518,Vegetative,Low
Wheat,Sandy,15.599187977340844,81.055017946345,11.919675664005842,176.43995572349397,Flowering,Medium
Sugarcane,Loamy,32.598052122136814,65.45821998897298,49.56690009621166,137.7203752632222,Flowering,Low
Cotton,Sandy,28.661847157438224,91.21530778352388,16.763466830409843,55.62224948487129,Fruiting,Medium
Rice,Silty,30.540460467255592,45.46466893480199,88.82757749498485,89.36825089305938,Maturity,Low
Wheat,Sandy,15.223894212516582,28.110945675289898,57.04892563644819,85.79319513735275,Flowering,Medium
Wheat,Silty,27.68059858972277,57.9875900777694,30.522609408878274,191.86703365678372,Vegetative,Low
Cotton,Clay,36.54204483602582,26.435807878207914,55.09741436380942,35.06218210292793,Vegetative,High
Rice,Clay,28.280811059023076,92.71448924930051,16.149368270540386,17.915267458885808,Vegetative,High
Tomato,Clay,36.96657618936666,22.901371869289363,73.99130434150536,176.12376643233804,Maturity,Medium
Groundnut,Loamy,21.990568931905045,76.51279258304811,84.02624430913309,179.33719790117416,Seedling,Low
Sugarcane,Loamy,39.39426013445176,59.382679860668304,79.95555105649277,174.34781758243295,Flowering,Medium
Groundnut,Silty,32.652937213603565,47.64654893737165,37.340608183885024,102.19538312511128,Seedling,Medium
Tomato,Clay,21.322892982897187,24.938162338149098,36.06144957146948,131.9488856538921,Maturity,Medium
Potato,Loamy,22.10161427561499,66.66251931302058,12.807008897304,112.67260951219677,Flowering,Medium
Wheat,Clay,33.840913937086114,63.89152470432165,62.11202869607334,13.889565210880184,Fruiting,Medium
Rice,Loamy,39.8981877963733,41.06624548006998,52.792382735183594,119.16697938014448,Flowering,Medium
Wheat,Sandy,27.468833460874656,88.26662760577341,46.74770970618731,2.7228294512201767,Flowering,Medium
Maize,Sandy,22.749012873827766,42.80825055071277,82.61047626677656,64.99748191141722,Flowering,Low
Wheat,Clay,41.01034820731802,53.72940579440796,23.430312086627705,186.45851517463342,Flowering,High
Wheat,Silty,35.07804875252505,60.78218419389918,10.773301335214587,60.809053927161514,Flowering,High
Tomato,Loamy,28.442564618492295,27.517390863221458,15.865316169661234,187.96532852884957,Maturity,High
Tomato,Loamy,29.637005858379055,89.91212894102243,27.86971502618951,50.02679142984885,Flowering,Medium
Tomato,Sandy,21.127694038091892,48.09021143382808,12.662843941076556,62.91244809230649,Maturity,Medium
Groundnut,Sandy,33.80407890194532,26.058441040575772,50.22749685145084,125.68149928771071,Flowering,Medium
Maize,Silty,25.76227531628666,49.04683802564975,35.127236418686245,152.32539455785897,Flowering,Medium
Potato,Silty,44.86935530023048,65.01519103194354,24.43864064545061,100.27755360097682,Maturity,High
Potato,Silty,29.405505457856634,58.523950386599715,70.00672599589296,176.42313743883108,Flowering,Low
Tomato,Clay,29.576568185688394,72.09064805279556,26.356106098602403,8.048084322123849,Vegetative,High
Rice,Sandy,31.975553622320156,24.161295655093298,65.00840807950345,184.43896772687413,Flowering,Medium
Groundnut,Clay,42.502680093562404,41.340545770404205,37.94119246781111,39.2615599790816,Fruiting,High
Cotton,Sandy,39.02454299579251,81.44229326300767,50.94622085300436,176.84774901693117,Maturity,Low
Rice,Sandy,28.533902093935243,25.992026584352065,84.70936318810558,80.1726358972761,Flowering,Medium
Sugarcane,Loamy,36.560977979183875,84.16144660219682,12.988130785265026,166.55141117420754,Flowering,High
Sugarcane,Sandy,32.58706496342285,26.89220690578297,50.02116059819695,134.33310996073902,Maturity,Medium
Rice,Sandy,29.771011461037467,82.58406611687721,78.35383682620946,35.18832649565242,Seedling,Low
Tomato,Clay,20.769473183530515,47.059130080904495,57.03793986962788,183.6095139762897,Vegetative,Low
Cotton,Sandy,28.91808790364673,65.91567974429118,32.14964135721253,49.103478097691934,Vegetative,Medium
Cotton,Clay,22.37455761067724,31.466533673599862,41.814490811602745,48.82802373899982,Flowering,High
Groundnut,Silty,42.44526449554964,24.962654129388564,64.42125029828597,162.8357793274761,Maturity,Medium
Cotton,Sandy,25.06220440489041,36.19536530151013,81.26495154510424,21.174651114504208,Fruiting,Medium
Sugarcane,Sandy,43.56792043600117,29.589036343152166,13.285309899728928,44.40718127409207,Flowering,High
Maize,Clay,30.991658702841335,43.43044232597238,15.723105751230113,100.73551468421246,Vegetative,High
Tomato,Silty,33.94633136028481,58.578743488326516,36.004121888767,166.09540573732485,Flowering,Medium
Cotton,Loamy,31.28821333467983,64.15695976737572,28.62237475499832,29.4967949474535,Maturity,High
Groundnut,Silty,18.881418509001026,79.24010805348072,31.19447089779248,109.53364690246927,Fruiting,Medium
Sugarcane,Clay,26.27463657023823,69.2179919936269,27.701599890070476,142.2481183605879,Seedling,Medium
Maize,Silty,17.974383368328716,65.65687438471647,25.66600390841262,172.11904494319026,Fruiting,Medium
Wheat,Clay,33.68862132550145,50.8836520614331,20.44991734954334,187.11311204044392,Flowering,High
Wheat,Clay,28.406225856013165,55.535632622010404,84.71633054361904,156.9279828937865,Vegetative,Low
Maize,Loamy,38.3395491471281,51.089062204263584,21.535157112492243,130.56567964440038,Maturity,High
Sugarcane,Sandy,21.614114429981093,83.16245225460374,26.352301981242896,86.72401706255317,Flowering,Medium
Groundnut,Clay,19.936981752880047,37.250033941129985,29.701257918462858,22.422030837683927,Seedling,High
Maize,Clay,27.189966928913034,20.429069865647346,84.64118985043365,141.94743850510426,Maturity,Low
Tomato,Loamy,42.79756149655144,68.84899229196795,70.45713068808678,198.54746089509737,Maturity,Low
Tomato,Clay,36.31265445037235,35.18466377291236,73.17595442524117,147.35211894641998,Maturity,Medium
Wheat,Sandy,27.56770874378756,86.7586352232357,18.380660763079845,3.342218747545256,Flowering,High
Cotton,Loamy,30.518165092629317,84.4284747279992,76.90479000125373,99.25199560836775,Seedling,Low
Groundnut,Sandy,17.52639033531295,25.754552894615443,42.65544654539344,122.92932649658077,Flowering,High
Wheat,Sandy,44.5372768912834,27.979130406055802,31.0258420969911,137.93484022056862,Maturity,High
Cotton,Loamy,34.99221914084757,57.137869418499974,56.06000668162484,143.94516712014172,Maturity,Low
Cotton,Clay,23.562122053902677,65.6916997077016,75.77463246533871,111.6216882433048,Vegetative,Low
Potato,Sandy,32.57425182645733,40.61812531116806,72.29217208599275,44.67206654684806,Fruiting,Medium
Tomato,Sandy,18.28447098206982,73.75982875245279,81.19979860649056,188.44013229530933,Flowering,Low
Sugarcane,Sandy,43.975100064227505,64.61870156891536,84.25057488123551,139.33329353273237,Seedling,Low
Rice,Sandy,20.24354963650098,44.3618082311416,29.049765714219966,47.368007373881895,Maturity,High
Sugarcane,Loamy,34.440909541656424,21.90286160317367,43.90863153354174,64.46436645405458,Flowering,High
Rice,Loamy,22.363633876167913,76.26127109738883,11.170283136405601,184.38553412607394,Fruiting,Medium
Maize,Silty,36.526841479456074,36.1065249368812,80.3457327412048,177.49703734146715,Flowering,High
Tomato,Silty,38.30464101720843,82.58553075969712,22.365772117981404,81.02928767161792,Fruiting,High
Cotton,Sandy,35.202591867342974,51.52176950406914,78.91798498741554,7.661444398290196,Flowering,High
Groundnut,Clay,33.434983807655776,63.280808197382406,36.350985758927706,9.699473778787638,Vegetative,High
Rice,Sandy,41.77407281856035,85.47115478067514,39.45068719849105,56.78365818367781,Flowering,High
Sugarcane,Clay,17.358801329692742,84.7717250689965,13.13058035870875,125.8244438677999,Vegetative,Medium
Cotton,Sandy,24.927442973405856,47.863968143267996,36.15030318122557,116.83892706691236,Fruiting,Medium
Rice,Silty,22.448624388925378,35.66666695361323,81.06909462410113,126.76555738878854,Maturity,Low
Rice,Silty,44.640418861962644,78.1359558296446,12.043792089728331,143.45659438642133,Maturity,High
Potato,Clay,26.681693390006203,52.48101527015984,42.50619784373803,3.8064507185476826,Flowering,High
Rice,Sandy,36.97838097721196,34.40314951692531,12.511970385019291,21.017119034488573,Seedling,High
Groundnut,Clay,35.541754916430136,87.83190067378627,39.67387400872519,71.89669036544252,Flowering,High
Tomato,Silty,21.362437124321332,34.85781456808155,23.811251262423294,30.97199950431635,Vegetative,High
Groundnut,Sandy,22.169930406346538,21.93553761434233,30.177471461469764,15.064008508910831,Vegetative,High
Wheat,Sandy,23.438536906591025,21.5209980325565,80.20786985291352,128.19287919946638,Fruiting,Medium
Cotton,Clay,27.333818347781374,66.67365173406982,44.88393764975128,163.0672954982198,Flowering,Medium
Tomato,Loamy,22.029751969515804,69.62562955381478,31.903839312152975,150.5253314868565,Fruiting,Medium
Potato,Clay,15.589544482405435,43.328127879273794,57.147070236043824,163.40795572183583,Seedling,Low
Tomato,Silty,41.381791704215864,44.00082419352975,21.36855678660659,133.17130881157544,Maturity,High
Tomato,Silty,43.96829494142652,45.46204362949571,30.751328593668468,147.06906436284044,Maturity,High
Sugarcane,Silty,25.247111610947037,71.0118910069159,53.69983740823108,54.355754841660264,Flowering,Low
Tomato,Silty,25.155206382764185,24.360034327012144,29.001843347845508,198.60160725683286,Fruiting,High
Potato,Silty,15.212754383231129,89.68372645184942,64.33021899206986,36.633130898777424,Fruiting,Low
Groundnut,Loamy,35.40752064991122,36.689078313308485,49.319304180761804,42.8987748778765,Seedling,High
Tomato,Sandy,39.76319687245886,94.97549039315692,71.75912562037527,57.78436636316937,Fruiting,Medium
Maize,Clay,19.398249010800093,32.864202034039025,85.85956285779748,195.06648602131577,Vegetative,Low
Cotton,Clay,19.78999048101452,77.86598429842832,19.26439114779262,197.65771787078123,Vegetative,Medium
Tomato,Silty,38.702497499143135,36.75594086972188,36.77320079876359,158.9787499412995,Vegetative,High
Cotton,Clay,33.48872245062434,26.063510123244047,35.56392503027253,125.81151971192675,Flowering,High
Maize,Silty,16.34581672883151,85.61999932629867,22.09463354698034,104.01251503692268,Vegetative,Medium
Maize,Loamy,33.67640971386845,84.4063444393169,74.82425098667767,194.12416913736914,Vegetative,Low
Cotton,Loamy,24.26753168531298,50.2677794337201,70.7902963231032,139.1245605716495,Maturity,Low
Rice,Sandy,26.061754664125377,72.679710690532,48.75403766675192,188.94602566520604,Flowering,Low
Wheat,Loamy,38.0919425489064,61.779944951293785,53.02166222356877,63.31015989552478,Vegetative,Low
Sugarcane,Loamy,39.32805578017832,83.97170852553117,14.7635310401997,66.75495845391313,Seedling,High
Rice,Sandy,27.01069880519492,43.62919769889908,54.44058818616365,170.94491882368712,Vegetative,Low
Rice,Clay,43.41458808019064,59.27542999992389,73.30732192157092,29.970984117058876,Flowering,Medium
Groundnut,Silty,27.193881538562167,56.402927840341285,55.90620588670858,189.18557225921515,Fruiting,Low
Sugarcane,Silty,38.1550810569033,46.5429369692644,31.224509609633515,101.49487093268151,Maturity,High
Sugarcane,Clay,29.51631793692777,86.85912984172792,63.40386178674698,185.28277571673954,Maturity,Low
Rice,Sandy,41.925969795662525,32.44084434969016,38.919074397219816,67.35855774516261,Flowering,High
Tomato,Clay,42.232837309505356,31.21314796405221,53.58986274285882,143.1917808278794,Vegetative,Medium
Groundnut,Loamy,17.622504236132514,63.26821514920635,49.00522906231398,96.57502439453793,Seedling,Low
Groundnut,Sandy,43.09479993930677,69.31206724887065,40.49400007721441,125.36072604909461,Vegetative,Medium
Maize,Sandy,39.766045245612474,34.596444074342386,67.51023843153081,100.87449862783045,Vegetative,Medium
Potato,Sandy,38.739321429380006,49.30380816909681,80.71008895887054,193.42312347427227,Seedling,Medium
Sugarcane,Silty,21.027340190565674,90.99228822340578,10.417001478153995,138.42107956278343,Maturity,Medium
Rice,Clay,39.153576262639945,38.49630670180055,84.68932153842938,50.263793725263085,Vegetative,Medium
Maize,Sandy,40.50398204055111,70.12705265880456,50.921210886657995,181.93538438101692,Fruiting,Medium
Cotton,Sandy,23.67451003362453,75.51120452731931,66.05855042906121,58.80594763102087,Fruiting,Low
Wheat,Sandy,43.56780235086971,53.609652459886966,78.44996529407017,74.32101986017126,Flowering,Medium
Potato,Clay,16.49580439197493,90.31444900696873,47.36829538514159,20.424739604042674,Flowering,Low
Potato,Silty,19.49727759741419,75.2492551414093,76.79792586919122,179.99330395923815,Seedling,Low
Potato,Loamy,31.12743414154543,54.344343489567336,24.20958555641618,57.2224046455726,Seedling,High
Groundnut,Silty,32.27377413366929,62.70014013320705,22.733402758385157,51.78352358627647,Flowering,High
Cotton,Sandy,34.354502499027106,71.94600825688255,62.59770950849229,184.05251959899078,Vegetative,Low
Potato,Silty,15.509073879463994,64.41426353219137,79.61144044413898,161.10537248100667,Maturity,Low
Cotton,Silty,43.81100323866391,85.90231878695569,81.39409420288315,28.21578430387488,Fruiting,Medium
Tomato,Loamy,16.337642782024318,46.76664967103009,61.49923667017973,153.86490078073615,Seedling,Low
Potato,Clay,19.291858581702073,42.491430504185374,52.0391384167454,182.60661961075814,Flowering,Low
Wheat,Clay,15.42043552578171,36.03791671214482,36.511447015721295,15.702243642148783,Fruiting,High
Cotton,Silty,32.00575299882284,22.833722604844635,88.40003324794651,165.0429989809146,Seedling,Medium
Cotton,Silty,42.96800651762916,23.22604732850415,35.57565493330004,109.4840103746112,Seedling,High
Wheat,Clay,34.97841498241392,85.25413948319621,69.53488857852746,133.83948987576014,Vegetative,Low
Potato,Clay,39.679724054412816,70.87948598044305,52.55854399240006,98.57086778098738,Seedling,Low
Wheat,Loamy,15.398436103757403,69.53993115773646,58.68098740202774,139.56061698105572,Maturity,Low
Cotton,Sandy,31.260458954391783,66.09821142011646,41.47844404709009,6.819572333350643,Seedling,High
Wheat,Silty,28.786889325165657,83.69143585205786,87.18585003777983,152.54134464465673,Maturity,Low
Cotton,Clay,29.969038326623792,56.02001942492206,55.734586087941686,6.668739571791682,Vegetative,Low
