N,P,K,temperature,humidity,ph,rainfall,label
29,30,46,32.0,40.03,7.37,96.45,mango
17,144,135,17.98,73.68,5.61,219.8,apple
24,30,29,29.68,50.14,7.38,170.59,mango
19,28,38,26.18,67.7,5.6,64.72,pomegranate
68,53,55,28.98,82.66,5.57,160.4,jute
20,55,20,23.98,50.65,5.91,65.69,pigeonpeas
79,42,36,28.5,71.31,6.6,196.09,jute
30,139,176,15.06,57.44,7.36,96.61,grapes
132,57,38,27.81,50.19,5.62,74.65,cotton
13,21,46,27.16,69.81,6.86,55.19,pomegranate
51,65,79,23.45,66.36,6.71,196.86,papaya
26,114,110,18.63,67.66,6.26,244.96,apple
28,52,37,30.69,55.27,7.04,52.56,blackgram
36,60,36,31.19,41.33,5.9,109.34,pigeonpeas
81,49,65,30.09,63.52,6.07,57.88,watermelon
75,62,50,34.41,74.5,6.5,118.15,papaya
21,36,34,26.34,48.71,7.21,71.42,blackgram
36,126,133,15.71,64.94,6.61,77.94,grapes
22,50,31,26.44,50.03,6.11,68.64,lentil
88,45,39,21.25,80.0,6.1,257.19,rice
77,53,46,28.6,89.01,5.85,200.79,jute
80,59,50,33.59,74.73,6.9,109.57,papaya
40,61,22,21.1,35.16,6.92,52.08,chickpea
94,58,46,29.9,88.55,6.89,283.6,jute
102,24,32,22.76,85.08,6.36,208.99,coffee
15,41,15,33.35,54.11,6.27,41.57,mothbeans
31,18,26,26.37,48.49,7.33,103.34,pomegranate
43,79,67,27.43,81.05,7.13,178.0,papaya
22,47,31,31.62,43.11,5.65,66.05,pigeonpeas
31,103,123,23.19,62.4,6.78,113.78,apple
35,51,24,24.42,27.26,6.2,104.51,kidneybeans
19,29,31,21.06,55.75,5.59,130.25,orange
33,49,33,33.17,46.5,6.11,30.34,mothbeans
82,52,51,21.79,89.24,5.47,198.81,rice
31,59,18,29.77,54.07,6.87,64.09,mungbean
87,68,63,26.29,60.13,7.12,81.74,watermelon
10,12,44,31.57,67.03,7.21,97.82,pomegranate
11,29,26,31.58,79.22,5.52,253.37,coconut
12,8,38,31.52,87.32,7.24,204.97,coconut
118,40,16,19.5,72.71,5.37,167.3,coffee
32,15,32,33.48,66.37,6.87,110.13,pomegranate
45,56,32,18.98,32.14,5.54,85.27,kidneybeans
30,46,30,33.24,25.13,7.67,57.01,mothbeans
109,18,16,26.78,62.39,5.3,122.88,coffee
34,50,25,18.28,31.89,6.31,71.39,kidneybeans
70,42,44,20.16,81.44,5.42,199.12,rice
25,41,31,25.06,31.32,6.47,63.26,lentil
65,54,74,27.89,81.79,6.14,139.6,papaya
27,29,28,32.17,36.94,6.58,54.94,pomegranate
28,22,32,26.07,55.79,6.01,114.34,orange
49,69,27,24.84,30.05,7.16,79.92,chickpea
84,22,34,26.53,83.37,6.26,186.82,coffee
32,25,30,31.17,40.32,5.76,74.19,pomegranate
122,54,30,31.35,64.28,6.8,118.18,cotton
22,59,26,27.75,44.83,6.54,75.21,mothbeans
28,57,32,25.1,61.12,6.69,99.33,mungbean
20,139,157,26.72,60.72,6.65,67.11,grapes
31,44,18,30.96,62.58,6.57,47.94,mungbean
27,42,28,21.77,53.74,6.07,61.09,lentil
114,58,22,26.27,48.24,7.84,79.1,cotton
42,58,19,22.87,39.83,5.98,102.86,kidneybeans
52,29,29,28.47,73.05,5.96,132.44,mango
70,44,43,29.73,70.31,7.31,67.46,muskmelon
43,52,36,20.05,42.77,6.63,100.25,kidneybeans
30,16,27,20.77,69.2,5.29,82.31,orange
22,44,19,20.85,30.57,6.83,130.54,pigeonpeas
86,45,22,26.86,65.23,7.29,73.8,maize
102,39,37,19.69,74.2,6.94,168.41,coffee
61,60,49,29.21,93.87,5.81,178.39,jute
114,52,26,30.57,46.52,6.73,79.6,cotton
78,48,26,21.61,68.99,5.81,70.92,maize
13,44,22,19.82,48.95,7.41,43.57,lentil
36,47,19,18.05,35.77,6.17,66.71,kidneybeans
23,21,31,21.22,41.77,7.4,78.61,pomegranate
67,71,71,28.96,83.92,6.89,131.45,papaya
97,48,48,26.39,88.0,6.4,269.37,rice
25,46,20,31.52,43.49,6.61,93.26,pigeonpeas
93,50,56,29.92,66.96,7.07,35.48,muskmelon
38,40,31,30.45,33.11,7.43,54.82,mungbean
27,56,25,24.35,37.85,6.41,75.47,kidneybeans
71,50,38,19.9,70.57,6.76,103.99,maize
111,23,37,24.15,84.67,6.09,148.4,coffee
41,59,28,21.01,27.92,6.15,98.69,kidneybeans
25,61,45,24.5,16.08,6.33,55.27,chickpea
119,61,26,25.7,71.88,7.65,66.4,cotton
27,54,15,33.18,21.4,7.78,79.6,mothbeans
22,157,156,15.42,87.21,6.23,169.05,apple
75,48,62,22.31,82.93,6.87,162.56,papaya
11,14,44,26.81,45.56,6.27,109.81,pomegranate
116,52,35,31.06,74.87,5.53,85.51,cotton
34,32,35,31.05,76.05,5.83,118.14,mango
24,130,159,16.76,70.05,7.29,52.89,grapes
51,36,33,26.89,44.88,6.52,138.53,mango
78,47,42,25.75,71.18,5.89,237.29,jute
79,57,48,31.52,84.7,7.18,192.68,jute
127,52,29,33.17,48.05,6.37,103.83,cotton
14,42,22,29.08,43.79,6.11,31.73,mothbeans
32,18,53,29.78,85.38,5.8,275.39,coconut
31,11,25,26.74,94.22,6.89,210.2,coconut
11,16,54,24.2,86.88,7.36,185.54,coconut
23,135,170,23.64,71.15,5.81,216.27,apple
18,38,29,18.82,75.52,5.82,145.35,orange
52,46,41,29.01,41.23,7.26,81.3,mango
52,36,24,30.03,68.11,7.09,142.91,mango
19,24,28,27.92,71.82,6.61,151.41,orange
96,53,42,33.24,88.12,7.29,117.63,banana
29,151,124,18.54,87.18,6.85,246.47,apple
32,134,105,17.33,67.89,6.05,53.98,grapes
38,65,16,25.97,58.82,6.56,59.22,blackgram
44,58,22,18.54,32.52,6.69,95.35,kidneybeans
12,141,114,21.89,51.85,6.04,88.42,grapes
137,43,22,27.35,52.3,5.82,135.74,cotton
13,53,17,25.48,35.68,7.58,45.52,lentil
103,51,66,28.91,78.57,5.78,165.92,banana
17,51,30,27.19,22.1,6.26,60.3,mothbeans
24,139,176,22.95,61.2,6.0,170.58,apple
83,31,28,23.27,87.8,5.06,220.54,coffee
28,59,22,22.06,25.21,7.36,72.14,lentil
83,38,52,32.05,71.07,6.85,212.2,jute
15,23,17,28.83,66.6,5.88,116.11,orange
13,54,25,28.94,29.4,7.29,45.48,lentil
43,58,32,28.01,37.36,7.51,73.71,blackgram
81,63,41,33.92,79.93,5.99,167.26,banana
24,60,22,20.1,38.58,5.57,105.14,kidneybeans
26,10,26,27.37,68.27,6.27,79.71,pomegranate
110,18,21,21.94,65.1,5.99,181.28,coffee
80,43,42,24.82,89.13,7.47,165.49,papaya
24,56,34,25.54,30.52,6.21,71.58,lentil
35,30,43,26.76,74.65,5.51,226.37,coconut
17,55,23,22.74,35.14,6.05,70.89,kidneybeans
44,50,39,24.96,37.79,6.97,88.48,kidneybeans
35,36,30,28.41,36.75,7.86,46.6,mothbeans
77,80,75,34.97,67.34,7.26,182.3,papaya
46,67,22,22.66,28.59,6.16,68.33,chickpea
88,55,45,31.38,72.62,5.72,68.07,watermelon
23,48,29,34.15,57.04,7.47,135.41,mango
47,29,31,32.04,49.69,5.84,132.98,mango
77,41,35,25.19,72.37,6.04,95.41,maize
89,56,58,27.13,84.64,6.67,166.86,banana
67,40,43,24.2,83.64,5.58,241.78,rice
12,60,18,34.88,54.2,7.59,62.97,mothbeans
36,145,149,18.64,66.3,6.66,172.96,apple
28,62,22,20.14,39.72,6.17,99.92,kidneybeans
15,52,16,19.36,25.12,8.0,71.1,lentil
28,68,32,23.74,33.21,7.55,76.25,chickpea
15,49,33,22.66,44.15,6.64,107.54,kidneybeans
137,38,24,31.22,51.78,7.14,66.42,cotton
22,55,37,31.36,28.18,5.81,135.58,pigeonpeas
26,56,40,21.43,15.13,7.52,51.41,chickpea
39,65,24,17.49,34.52,6.92,52.33,chickpea
106,47,56,29.77,63.43,7.16,56.34,muskmelon
33,152,117,16.68,64.49,6.53,91.46,grapes
19,59,29,21.62,30.65,6.61,39.19,lentil
17,160,114,22.72,66.7,5.62,231.24,apple
39,44,16,28.39,50.24,6.24,79.49,mungbean
16,64,21,23.65,34.12,5.96,60.12,pigeonpeas
46,75,29,20.59,33.05,7.77,73.72,chickpea
110,50,17,22.45,59.06,6.5,63.69,cotton
36,51,20,18.93,39.4,7.6,88.38,chickpea
32,59,31,21.82,51.28,6.58,82.6,pigeonpeas
24,102,132,26.43,78.59,6.53,90.96,grapes
39,108,156,20.06,60.77,6.89,227.78,apple
36,47,19,23.99,25.68,6.76,73.96,kidneybeans
41,60,24,31.87,42.51,6.12,85.08,blackgram
30,40,39,33.53,49.93,7.21,61.36,blackgram
16,61,15,28.44,54.11,6.38,78.8,pigeonpeas
75,54,47,26.21,73.11,6.19,170.63,jute
27,45,20,28.4,45.08,6.9,56.96,lentil
101,38,32,27.58,70.94,7.24,50.81,cotton
35,17,27,27.35,65.03,6.1,86.56,orange
21,27,37,34.99,45.04,6.06,61.18,pomegranate
23,31,17,26.54,75.41,5.79,162.89,orange
26,119,106,23.96,84.08,5.71,216.52,apple
33,41,29,30.66,52.52,6.77,33.31,mothbeans
69,45,51,24.84,85.09,7.36,277.55,jute
13,43,15,22.8,41.5,7.24,64.86,lentil
79,38,21,26.88,58.56,6.5,97.09,maize
63,50,24,23.59,56.14,7.24,118.41,maize
11,14,36,34.02,64.22,7.19,71.22,pomegranate
109,61,67,31.59,60.34,7.34,44.58,muskmelon
93,37,37,22.93,75.43,6.4,98.61,maize
31,45,16,30.99,66.1,6.57,52.98,mungbean
105,17,20,21.38,62.34,5.38,238.47,coffee
76,54,32,19.39,75.4,5.95,73.43,maize
11,40,16,26.92,46.7,6.27,72.62,lentil
42,51,44,19.94,23.17,6.3,62.22,chickpea
26,50,17,34.4,60.21,6.88,89.71,mungbean
15,14,40,26.4,86.42,7.34,210.09,coconut
37,16,33,27.29,87.9,5.72,190.57,coconut
101,38,22,34.64,61.76,6.43,138.87,cotton
30,52,18,22.41,21.36,6.62,75.88,kidneybeans
27,51,35,20.29,36.0,7.8,64.14,chickpea
10,53,22,27.54,20.45,7.08,72.56,mothbeans
70,49,53,30.66,79.8,5.74,267.12,jute
24,47,24,29.32,61.27,6.97,89.7,blackgram
118,44,30,24.41,63.81,5.93,56.38,cotton
67,58,25,21.45,67.97,5.59,69.98,maize
10,57,31,31.27,46.26,6.3,52.92,mothbeans
12,60,28,21.42,42.57,6.22,78.46,lentil
19,55,34,18.5,22.0,6.03,107.09,kidneybeans
76,87,41,26.78,80.17,6.27,219.2,banana
109,46,53,24.79,61.69,6.98,63.19,watermelon
35,132,155,32.67,64.87,6.13,87.68,grapes
22,58,25,28.12,38.38,7.42,67.93,lentil
32,62,28,32.07,40.09,6.89,56.17,blackgram
70,45,54,21.83,76.54,5.58,174.18,rice
29,15,24,23.78,67.23,6.66,87.34,pomegranate
57,15,50,33.93,45.59,5.69,122.46,mango
30,26,38,31.0,75.33,6.15,172.61,coconut
131,62,35,24.54,62.99,6.33,50.92,cotton
13,40,30,25.51,37.24,6.88,46.72,mothbeans
39,51,34,28.03,61.28,7.15,81.5,mungbean
27,57,23,27.15,29.32,6.02,35.9,lentil
32,126,150,21.81,59.03,6.66,74.91,grapes
19,57,20,24.7,51.87,5.91,100.62,pigeonpeas
86,52,52,29.99,74.21,7.02,247.74,banana
81,43,36,21.88,61.22,6.73,102.41,maize
92,60,42,31.37,70.01,7.11,111.89,banana
88,65,65,33.93,74.7,6.15,41.37,muskmelon
12,131,140,17.99,53.12,5.75,55.05,grapes
23,41,29,28.48,28.8,7.73,61.71,lentil
111,53,61,28.25,56.34,6.77,98.56,watermelon
103,89,41,30.57,80.6,6.39,138.12,banana
27,139,112,21.47,65.48,6.63,150.86,apple
49,26,39,30.59,46.85,6.98,110.26,mango
20,52,26,28.43,24.71,6.19,71.58,mothbeans
109,55,56,24.38,82.44,5.81,127.44,banana
30,22,43,31.3,78.2,5.94,158.87,orange
19,20,28,22.3,84.47,7.04,96.47,orange
30,158,120,23.75,87.72,6.51,239.69,apple
83,26,36,22.73,84.88,6.46,147.23,coffee
27,40,35,28.43,71.33,7.43,92.67,mango
81,49,51,25.81,94.52,6.03,198.44,rice
37,113,137,24.41,76.21,7.03,75.65,grapes
32,57,37,17.03,30.49,6.71,81.77,chickpea
44,69,51,32.66,89.87,6.11,147.3,papaya
92,41,32,24.84,69.89,6.44,84.71,maize
101,55,52,33.95,54.88,7.49,35.94,muskmelon
56,64,51,24.28,83.24,7.42,110.04,papaya
83,17,31,22.87,83.71,6.83,170.49,coffee
85,38,38,23.65,63.37,5.78,107.64,maize
13,156,130,15.81,71.62,6.4,177.05,apple
25,44,29,23.32,52.64,6.67,107.43,pigeonpeas
61,41,54,30.45,89.57,6.99,157.59,jute
15,121,123,21.15,87.08,6.94,198.04,apple
23,28,40,26.87,81.01,6.54,244.8,coconut
10,49,34,25.99,49.68,6.03,59.39,lentil
50,37,52,28.75,71.43,6.42,174.1,mango
85,57,57,29.23,66.97,6.55,76.81,muskmelon
85,26,22,21.52,62.83,5.86,247.82,coffee
106,52,20,22.51,46.08,7.58,109.14,cotton
14,31,26,20.89,64.1,5.19,149.54,orange
32,29,42,21.3,58.42,6.32,82.95,pomegranate
34,40,33,31.0,59.25,7.54,98.77,blackgram
87,39,58,26.58,94.0,6.45,242.01,rice
19,55,35,25.3,51.41,7.25,78.67,mothbeans
106,63,52,27.17,61.21,6.5,38.81,muskmelon
93,58,66,24.52,61.56,5.82,81.72,watermelon
18,58,26,21.24,46.07,7.32,79.51,lentil
22,45,32,22.62,42.86,6.03,112.96,pigeonpeas
36,115,170,15.38,71.97,7.37,82.86,grapes
14,44,32,26.55,22.9,6.97,45.12,mothbeans
32,12,41,33.8,44.47,6.24,89.82,pomegranate
113,38,40,21.97,89.73,5.31,152.96,coffee
94,45,59,29.11,64.86,6.36,97.36,watermelon
80,51,58,28.19,89.13,6.7,289.05,jute
95,20,18,25.4,83.1,6.94,220.54,coffee
24,125,167,17.3,60.17,6.48,130.37,apple
101,28,28,18.09,60.05,5.2,133.2,coffee
34,35,22,22.76,82.76,5.41,84.22,orange
29,24,22,25.35,79.45,6.13,91.53,mango
34,62,28,20.14,25.32,5.55,75.2,kidneybeans
84,60,49,26.19,78.09,5.54,66.27,watermelon
38,65,16,29.13,36.15,6.28,120.34,pigeonpeas
133,44,27,33.36,46.58,7.72,71.92,cotton
12,10,11,18.12,53.86,5.6,102.12,orange
89,55,62,30.13,77.87,6.26,67.82,watermelon
88,47,53,34.79,52.66,7.38,54.01,muskmelon
108,38,36,25.36,53.54,7.9,87.91,cotton
40,57,39,22.44,23.16,6.51,76.26,kidneybeans
38,60,45,18.09,32.38,6.81,67.13,chickpea
45,54,33,34.77,45.09,7.6,71.73,blackgram
17,44,27,21.29,25.8,7.47,63.15,lentil
108,37,32,25.35,68.71,5.61,221.79,coffee
18,12,33,21.93,68.17,6.45,72.21,pomegranate
76,50,47,26.84,51.95,7.14,51.37,muskmelon
12,7,45,24.41,78.42,7.01,194.15,coconut
94,76,36,30.84,89.45,6.5,153.63,banana
108,37,40,31.61,58.68,6.38,46.54,muskmelon
87,83,36,33.58,82.82,6.3,174.58,banana
74,53,17,20.84,68.49,7.08,79.13,maize
20,47,25,28.16,49.96,6.81,50.0,lentil
20,143,129,31.67,63.63,6.94,55.37,grapes
94,48,53,26.12,87.21,6.04,274.81,jute
25,52,26,23.8,29.03,7.05,54.59,chickpea
19,45,34,26.41,60.54,6.16,98.88,mungbean
14,37,18,29.08,49.64,6.71,64.51,lentil
39,63,26,28.42,68.46,6.89,74.45,blackgram
99,86,46,31.37,74.7,6.75,150.47,banana
92,19,19,24.39,86.19,5.82,142.04,coffee
60,41,46,27.91,41.97,5.56,135.42,mango
35,45,18,32.38,32.62,7.34,43.53,mothbeans
35,46,23,34.15,28.79,7.69,54.2,mothbeans
108,69,47,32.21,65.62,6.04,86.6,watermelon
25,57,29,33.84,52.16,7.07,59.77,blackgram
29,21,16,27.93,79.91,6.71,81.79,orange
97,53,59,32.52,51.01,6.69,51.2,watermelon
23,120,107,20.63,74.37,5.66,191.87,apple
28,122,133,23.32,69.3,6.91,126.95,apple
68,57,43,24.15,91.08,7.38,248.33,jute
37,55,16,28.68,69.16,6.84,75.1,blackgram
109,62,42,26.43,58.23,6.6,48.67,watermelon
114,61,26,33.9,59.94,6.5,125.04,cotton
71,50,40,23.69,61.5,6.77,92.4,maize
44,61,30,32.01,41.41,7.26,72.78,blackgram
14,103,162,26.41,72.82,5.8,78.59,grapes
47,52,27,23.08,26.24,7.55,52.61,chickpea
17,117,135,18.42,76.2,6.91,54.26,grapes
15,20,50,26.54,83.49,6.88,213.2,coconut
94,90,62,26.32,82.54,5.97,161.43,banana
22,37,18,26.27,34.93,6.78,54.75,mungbean
14,49,29,32.01,46.37,7.75,55.0,mothbeans
130,63,21,32.87,65.7,7.67,129.69,cotton
36,52,18,23.47,36.1,5.57,78.0,kidneybeans
121,37,24,29.81,61.68,6.51,92.9,cotton
84,55,63,26.44,58.08,5.99,99.5,watermelon
12,29,35,27.06,72.29,5.72,259.01,coconut
13,101,113,34.92,55.4,6.51,92.42,grapes
31,103,133,22.05,66.81,6.69,194.62,apple
73,52,46,24.94,74.06,6.64,128.89,papaya
82,42,50,20.24,75.75,6.65,204.03,rice
105,40,46,25.1,60.9,6.5,42.6,watermelon
100,35,49,30.31,92.86,6.51,231.56,jute
27,153,156,17.02,72.89,6.24,108.28,apple
22,159,118,27.24,62.99,5.64,74.39,grapes
22,45,42,26.17,52.69,6.06,133.09,mango
34,16,54,28.27,78.46,6.82,257.66,coconut
28,51,17,29.37,32.76,6.67,53.1,lentil
25,51,24,31.48,32.46,7.22,96.43,mungbean
98,43,66,33.93,55.82,6.2,78.78,muskmelon
17,23,52,27.35,77.43,6.44,163.98,coconut
13,39,48,20.71,55.66,5.6,131.55,orange
71,62,47,34.29,71.52,7.14,40.07,muskmelon
33,13,17,18.17,70.78,7.22,147.07,orange
32,57,24,31.3,30.02,6.5,115.27,pigeonpeas
32,136,126,15.25,82.5,5.82,225.17,apple
22,47,28,23.28,32.69,7.58,70.69,chickpea
21,59,15,32.62,65.73,6.87,76.78,blackgram
80,52,51,32.84,81.3,6.54,271.56,jute
41,56,36,24.25,21.56,6.83,82.42,kidneybeans
12,29,40,28.99,86.66,6.59,180.79,coconut
28,56,22,24.5,28.85,6.61,65.88,chickpea
27,45,32,33.15,41.41,6.75,42.77,mothbeans
17,58,24,29.66,46.62,6.31,54.36,mothbeans
20,123,121,21.86,62.32,6.94,75.58,grapes
41,65,25,22.27,24.85,7.3,54.26,chickpea
22,33,29,31.16,60.28,6.04,158.7,orange
30,36,18,18.63,43.78,6.11,72.64,lentil
39,53,20,31.67,54.94,7.2,74.49,blackgram
99,86,39,29.87,91.99,6.32,172.3,banana
33,12,36,28.22,75.4,7.27,162.81,coconut
15,32,42,27.51,71.24,6.41,166.09,orange
76,35,58,20.73,81.39,6.9,292.59,rice
16,43,19,25.98,68.27,6.9,83.72,mungbean
39,10,48,24.35,71.66,6.6,165.74,coconut
19,111,159,20.04,63.63,6.27,99.1,grapes
38,51,17,29.02,45.51,7.56,35.91,mothbeans
16,29,38,28.81,85.25,6.62,287.2,coconut
38,66,30,18.62,32.19,5.62,80.38,kidneybeans
18,17,41,27.11,90.52,6.4,240.55,coconut
14,41,22,31.74,22.19,6.42,70.45,mothbeans
102,54,56,25.33,71.97,6.55,160.42,banana
23,32,46,27.44,57.16,7.33,106.45,orange
100,61,59,32.92,51.34,6.09,56.81,watermelon
78,54,53,29.92,72.18,7.35,218.34,jute
33,38,15,34.64,45.08,7.21,53.99,blackgram
105,57,68,28.33,65.1,6.02,30.35,muskmelon
75,51,52,26.32,90.92,6.08,178.0,jute
76,41,69,26.53,58.08,6.89,60.51,muskmelon
30,119,126,18.39,80.4,5.59,239.37,apple
120,58,35,34.97,77.03,6.84,126.5,banana
74,44,33,22.07,60.62,6.4,68.45,maize
95,60,51,29.3,62.29,6.56,76.28,muskmelon
41,46,35,34.41,54.93,7.48,90.25,blackgram
33,105,169,23.13,61.0,5.64,107.37,apple
35,48,34,27.28,32.34,6.6,73.72,blackgram
11,40,22,30.11,41.53,7.82,55.49,mothbeans
105,51,52,31.65,78.14,6.58,86.1,watermelon
105,71,58,33.79,81.01,7.3,212.6,banana
108,59,46,29.16,71.61,6.56,63.73,watermelon
15,49,27,29.9,42.57,6.46,57.63,mothbeans
77,58,44,24.11,90.67,5.79,243.31,rice
15,29,47,30.78,83.5,6.33,296.58,coconut
58,24,54,33.5,70.9,5.84,162.18,mango
29,123,177,21.6,78.87,7.3,63.52,grapes
21,27,41,33.24,42.12,7.25,54.18,pomegranate
29,67,20,22.74,35.19,5.94,66.83,kidneybeans
28,140,164,28.18,61.94,6.53,90.15,grapes
104,28,40,26.31,87.35,5.51,220.43,coffee
65,39,38,25.13,78.64,5.69,284.52,rice
108,55,34,32.92,53.77,7.83,105.29,cotton
25,46,31,26.96,62.81,6.97,65.14,mungbean
32,45,20,28.09,69.0,6.82,72.24,blackgram
24,68,25,18.61,35.43,5.67,77.26,kidneybeans
61,58,41,25.3,81.23,6.04,232.01,rice
31,141,126,20.04,78.68,7.35,72.87,grapes
37,141,179,22.67,88.26,5.82,215.72,apple
22,19,37,25.35,40.75,6.51,108.11,pomegranate
36,52,23,29.5,38.54,5.87,128.4,pigeonpeas
79,50,22,24.25,76.5,7.06,62.38,maize
94,57,33,25.53,72.44,6.86,97.12,maize
31,124,130,19.56,65.31,6.45,154.62,apple
17,61,22,25.33,25.66,6.1,100.21,pigeonpeas
19,14,50,28.89,74.46,6.25,220.18,coconut
30,65,34,25.31,46.22,6.28,78.31,pigeonpeas
46,55,65,29.11,66.94,6.52,161.4,papaya
71,71,52,23.06,60.34,6.64,141.03,papaya
35,46,22,24.25,18.48,7.06,66.44,chickpea
29,34,41,22.97,70.1,7.08,148.81,orange
88,36,55,25.02,76.64,6.75,288.13,rice
38,28,33,21.25,51.63,7.36,111.37,orange
18,56,33,20.92,41.52,6.38,39.58,lentil
31,16,37,33.85,79.31,6.77,96.16,mango
103,55,54,28.81,76.7,6.71,230.7,banana
113,59,58,29.97,90.82,5.75,119.47,banana
81,32,24,24.46,70.69,6.35,214.8,coffee
26,102,125,26.51,78.52,7.22,61.42,grapes
71,55,79,27.65,64.51,6.7,167.9,papaya
21,118,117,15.38,61.29,6.81,201.76,apple
35,135,120,19.07,60.21,6.45,64.8,grapes
96,67,52,32.1,64.28,5.75,95.68,watermelon
118,44,39,33.04,70.31,6.78,128.94,cotton
21,60,22,19.45,32.91,5.51,60.38,kidneybeans
93,58,68,31.39,52.24,6.42,93.45,watermelon
20,57,39,21.22,25.25,6.37,67.41,pigeonpeas
22,51,23,19.73,27.81,6.03,74.31,lentil
76,53,45,30.29,67.7,6.45,31.75,muskmelon
86,54,69,27.15,80.6,6.8,103.7,banana
13,44,28,18.85,35.85,7.07,79.83,lentil
33,153,149,16.88,68.56,6.21,243.15,apple
27,54,29,19.08,33.84,6.31,98.1,kidneybeans
42,38,35,31.12,41.79,5.61,125.72,mango
67,57,34,24.94,76.12,7.02,97.57,maize
32,15,33,22.38,56.24,7.15,120.35,orange
48,32,30,33.73,63.08,5.94,106.91,mango
15,23,31,28.09,72.33,7.34,201.59,coconut
67,37,38,23.69,79.13,5.73,225.51,rice
38,37,14,19.85,67.34,5.27,114.56,orange
75,47,57,28.56,83.37,5.54,173.79,jute
116,47,23,27.99,52.55,6.44,129.99,cotton
25,54,28,22.33,50.76,6.85,127.03,pigeonpeas
41,49,20,26.34,68.13,6.15,59.95,blackgram
108,60,67,33.14,63.77,6.38,48.52,muskmelon
33,50,25,26.33,40.45,6.63,75.96,mungbean
61,37,57,33.56,78.93,7.28,239.05,jute
93,42,38,25.57,87.58,6.75,260.26,rice
95,42,40,32.57,79.56,7.21,53.01,muskmelon
47,70,80,32.11,68.88,6.37,121.77,papaya
72,72,70,26.54,73.62,6.89,197.39,papaya
28,42,15,29.96,41.43,7.1,41.44,mungbean
18,131,136,15.23,66.7,6.82,79.6,grapes
59,27,44,24.99,64.24,5.68,175.92,mango
31,53,17,25.36,69.77,6.35,43.23,mungbean
37,46,36,24.61,30.04,7.64,85.37,chickpea
83,48,30,18.16,76.8,7.36,93.91,maize
54,37,46,24.31,73.14,7.08,105.9,mango
22,18,49,23.01,42.54,6.08,62.09,pomegranate
32,22,37,25.36,84.52,6.47,259.33,coconut
36,41,43,28.27,46.83,5.95,137.55,mango
86,42,39,19.36,65.81,7.39,85.18,maize
30,15,55,25.45,83.61,7.4,243.81,coconut
37,55,29,31.8,53.11,6.59,30.06,mothbeans
74,61,46,34.4,77.07,6.42,200.7,banana
27,6,31,26.28,77.07,6.85,152.75,coconut
93,57,35,24.09,83.35,5.44,167.98,rice
24,48,39,30.28,46.04,6.95,104.97,pigeonpeas
63,45,52,29.17,79.59,5.74,186.74,jute
40,74,22,17.46,22.05,6.52,59.88,chickpea
26,7,40,28.65,83.05,6.16,231.37,coconut
19,48,22,30.46,45.18,7.09,80.04,pigeonpeas
56,41,64,22.16,60.04,6.92,118.9,papaya
97,63,65,25.42,64.13,6.6,45.51,muskmelon
22,54,23,26.39,30.43,6.82,98.55,mungbean
90,51,56,25.26,86.37,5.19,205.16,rice
83,47,45,33.79,80.93,5.65,292.0,jute
31,55,26,27.77,52.33,6.69,96.64,blackgram
18,13,29,28.58,50.46,6.19,102.25,pomegranate
11,123,133,16.67,60.69,5.7,198.19,apple
92,57,49,25.84,62.22,5.96,72.09,watermelon
31,71,33,20.83,15.64,6.68,65.21,chickpea
99,69,43,34.41,72.0,6.77,78.72,watermelon
90,50,39,29.88,86.88,6.33,209.6,banana
63,45,50,25.62,89.14,6.99,285.5,jute
63,60,52,25.79,70.31,5.84,275.73,jute
29,46,19,19.94,44.29,6.0,84.1,kidneybeans
38,45,31,27.66,54.66,6.05,60.18,mothbeans
81,68,64,33.21,52.8,6.98,97.6,watermelon
20,50,18,28.08,67.04,6.32,98.29,blackgram
103,67,64,33.96,72.99,6.56,142.68,banana
120,62,22,33.28,64.33,5.55,122.46,cotton
33,63,32,20.62,24.17,6.15,67.13,kidneybeans
93,36,30,20.07,58.01,5.65,101.78,maize
82,56,43,29.07,75.44,6.55,59.55,muskmelon
24,24,27,25.13,83.08,6.37,175.32,orange
14,16,44,33.59,69.13,5.96,111.69,pomegranate
79,50,19,26.92,60.79,7.39,98.98,maize
103,36,41,28.73,54.46,6.84,75.87,muskmelon
22,141,105,26.87,73.16,7.16,58.53,grapes
49,72,72,24.69,70.08,6.2,107.42,papaya
81,51,48,27.1,67.97,6.13,32.91,muskmelon
39,11,41,22.5,51.31,7.29,93.96,orange
73,59,62,32.3,53.01,7.08,63.99,muskmelon
115,34,20,18.72,81.47,5.78,219.59,coffee
23,103,174,24.41,50.87,6.88,74.09,grapes
97,19,36,21.49,72.0,6.79,184.56,coffee
82,27,25,25.79,70.65,6.97,143.5,coffee
84,36,58,31.55,70.85,7.14,180.04,jute
134,42,15,30.05,58.74,6.92,139.93,cotton
27,21,32,26.3,54.67,5.51,55.5,pomegranate
102,35,40,30.56,55.96,6.68,76.66,cotton
38,56,22,24.3,22.9,6.93,75.7,kidneybeans
26,26,12,23.58,59.48,7.5,110.84,orange
92,42,55,26.99,70.83,6.53,179.5,jute
31,62,23,23.42,39.32,6.28,108.8,kidneybeans
19,108,116,26.75,51.92,7.22,98.07,grapes
26,136,177,26.79,64.14,6.65,96.4,grapes
33,54,33,20.52,17.64,7.28,58.64,chickpea
22,46,33,25.42,58.74,6.7,83.1,mango
